mode,status,fail_date,years,min_mmr,min_mmr_date,min_runway,max_debt,total_interest,final_E,final_A,min_wQ,avg_wQ,cum_living,start,E_10y,y_wQ_lt_05,beta
C1,ok,,19.05,1.602,2008-11-18,32.1,0.5072,0.1072,6.462,6.9692,0.452,0.61,0.4,2007-08-08,2.0441,0.4,0.6
C2,ok,,19.05,1.602,2008-11-18,32.1,0.4202,0.0802,5.8247,6.2448,0.452,0.595,0.4,2007-08-08,1.8794,0.5,0.6
A,ok,,18.87,,,29.81,0.0,0.0,6.839,6.839,0.581,0.715,0.38,2007-10-10,2.0488,0.0,0.7
B,ok,,18.87,8.786,2016-02-09,31.3,0.4853,0.1053,8.2064,8.6918,0.581,0.715,0.38,2007-10-10,2.2316,0.0,0.7
C1,ok,,18.87,1.628,2008-10-06,27.76,0.4853,0.1053,8.2064,8.6918,0.581,0.715,0.38,2007-10-10,2.2316,0.0,0.7
C2,ok,,18.87,1.628,2008-10-06,29.85,0.4037,0.0837,6.6713,7.0749,0.447,0.684,0.38,2007-10-10,1.9673,0.5,0.7
A,ok,,18.87,,,32.32,0.0,0.0,5.4436,5.4436,0.472,0.617,0.38,2007-10-10,1.8842,0.0,0.6
B,ok,,18.87,8.168,2018-12-24,33.89,0.4853,0.1053,6.485,6.9704,0.472,0.617,0.38,2007-10-10,2.0328,0.0,0.6
C1,ok,,18.87,1.628,2008-10-06,30.35,0.4853,0.1053,6.485,6.9704,0.472,0.617,0.38,2007-10-10,2.0328,0.0,0.6
C2,ok,,18.87,1.628,2008-10-06,31.79,0.4037,0.0837,5.714,6.1177,0.447,0.602,0.38,2007-10-10,1.8836,0.5,0.6
A,ok,,18.7,,,30.92,0.0,0.0,7.2697,7.2697,0.531,0.713,0.38,2007-12-12,2.2462,0.0,0.7
B,ok,,18.7,9.232,2018-12-24,32.49,0.4835,0.1035,8.6288,9.1123,0.531,0.713,0.38,2007-12-12,2.4437,0.0,0.7
C1,ok,,18.7,1.607,2008-10-08,28.83,0.4835,0.1035,8.6288,9.1123,0.531,0.713,0.38,2007-12-12,2.4437,0.0,0.7
C2,ok,,18.7,1.607,2008-10-08,30.43,0.4021,0.0821,6.7211,7.1232,0.469,0.682,0.38,2007-12-12,2.0823,0.3,0.7
A,ok,,18.7,,,33.39,0.0,0.0,5.7787,5.7787,0.422,0.616,0.38,2007-12-12,2.0513,0.2,0.6
B,ok,,18.7,8.512,2018-12-24,35.02,0.4835,0.1035,6.8152,7.2987,0.422,0.616,0.38,2007-12-12,2.2118,0.2,0.6
C1,ok,,18.7,1.607,2008-10-08,31.36,0.4835,0.1035,6.8152,7.2987,0.422,0.616,0.38,2007-12-12,2.2118,0.2,0.6
C2,ok,,18.7,1.607,2008-10-08,32.57,0.4021,0.0821,5.8758,6.2779,0.422,0.6,0.38,2007-12-12,2.0132,0.5,0.6
A,ok,,18.53,,,33.9,0.0,0.0,7.9838,7.9838,0.568,0.711,0.38,2008-02-13,2.5819,0.0,0.7
B,ok,,18.53,10.437,2016-02-18,35.49,0.4816,0.1016,9.2715,9.7532,0.568,0.711,0.38,2008-02-13,2.7865,0.0,0.7
C1,ok,,18.53,1.615,2008-11-18,31.87,0.4816,0.1016,9.2715,9.7532,0.568,0.711,0.38,2008-02-13,2.7865,0.0,0.7
C2,ok,,18.53,1.615,2008-11-18,33.78,0.4225,0.0825,7.8354,8.2579,0.457,0.691,0.38,2008-02-13,2.3734,0.2,0.7
A,ok,,18.53,,,35.93,0.0,0.0,6.1939,6.1939,0.458,0.613,0.38,2008-02-13,2.2996,0.2,0.6
B,ok,,18.53,9.565,2020-03-16,37.58,0.4816,0.1016,7.1715,7.6531,0.458,0.613,0.38,2008-02-13,2.4657,0.2,0.6
C1,ok,,18.53,1.615,2008-11-18,33.96,0.4816,0.1016,7.1715,7.6531,0.458,0.613,0.38,2008-02-13,2.4657,0.2,0.6
C2,ok,,18.53,1.615,2008-11-18,35.29,0.4225,0.0825,6.4641,6.8866,0.457,0.603,0.38,2008-02-13,2.2451,0.4,0.6
A,ok,,18.36,,,34.91,0.0,0.0,7.8721,7.8721,0.565,0.714,0.38,2008-04-16,2.5909,0.0,0.7
B,ok,,18.36,10.368,2016-06-27,35.61,0.4798,0.0998,9.1232,9.603,0.565,0.714,0.38,2008-04-16,2.7902,0.0,0.7
C1,ok,,18.36,1.611,2008-11-18,33.6,0.4798,0.0998,9.1232,9.603,0.565,0.714,0.38,2008-04-16,2.7902,0.0,0.7
C2,ok,,18.36,1.611,2008-11-18,33.6,0.4501,0.0901,8.2625,8.7126,0.492,0.704,0.38,2008-04-16,2.5351,0.0,0.7
A,ok,,18.36,,,37.05,0.0,0.0,6.101,6.101,0.455,0.617,0.38,2008-04-16,2.2994,0.4,0.6
B,ok,,18.36,9.67,2016-06-27,37.79,0.4798,0.0998,7.0539,7.5338,0.455,0.617,0.38,2008-04-16,2.4611,0.4,0.6
C1,ok,,18.36,1.611,2008-11-18,35.78,0.4798,0.0998,7.0539,7.5338,0.455,0.617,0.38,2008-04-16,2.4611,0.4,0.6
C2,ok,,18.36,1.611,2008-11-18,35.78,0.4501,0.0901,6.6403,7.0904,0.455,0.612,0.38,2008-04-16,2.3277,0.4,0.6
A,ok,,18.19,,,32.86,0.0,0.0,7.2271,7.2271,0.552,0.712,0.38,2008-06-18,2.5014,0.0,0.7
B,ok,,18.19,9.651,2016-06-27,33.53,0.478,0.098,8.4421,8.92,0.552,0.712,0.38,2008-06-18,2.715,0.0,0.7
C1,ok,,18.19,1.607,2008-10-24,31.57,0.478,0.098,8.4421,8.92,0.552,0.712,0.38,2008-06-18,2.715,0.0,0.7
C2,ok,,18.19,1.607,2008-10-24,31.57,0.4042,0.0842,7.0431,7.4473,0.476,0.679,0.38,2008-06-18,2.5279,0.4,0.7
A,ok,,18.19,,,35.21,0.0,0.0,5.648,5.648,0.442,0.614,0.38,2008-06-18,2.227,0.5,0.6
B,ok,,18.19,9.071,2016-06-27,35.93,0.478,0.098,6.5733,7.0513,0.442,0.614,0.38,2008-06-18,2.4,0.5,0.6
C1,ok,,18.19,1.607,2008-10-24,33.97,0.478,0.098,6.5733,7.0513,0.442,0.614,0.38,2008-06-18,2.4,0.5,0.6
C2,ok,,18.19,1.607,2008-10-24,33.97,0.4042,0.0842,5.9221,6.3263,0.442,0.598,0.38,2008-06-18,2.2989,0.9,0.6
A,ok,,18.01,,,33.45,0.0,0.0,7.3491,7.3491,0.558,0.711,0.38,2008-08-20,2.5817,0.0,0.7
B,ok,,18.01,10.283,2018-12-24,34.13,0.4761,0.0961,8.5324,9.0085,0.558,0.711,0.38,2008-08-20,2.7958,0.0,0.7
C1,ok,,18.01,1.604,2008-11-12,32.17,0.4761,0.0961,8.5324,9.0085,0.558,0.711,0.38,2008-08-20,2.7958,0.0,0.7
C2,ok,,18.01,1.604,2008-11-12,32.17,0.4761,0.0961,8.5324,9.0085,0.558,0.711,0.38,2008-08-20,2.7958,0.0,0.7
A,ok,,18.01,,,35.71,0.0,0.0,5.7105,5.7105,0.448,0.613,0.38,2008-08-20,2.2815,0.4,0.6
B,ok,,18.01,9.347,2018-12-24,36.44,0.4761,0.0961,6.6115,7.0877,0.448,0.613,0.38,2008-08-20,2.4547,0.4,0.6
C1,ok,,18.01,1.604,2008-11-12,34.48,0.4761,0.0961,6.6115,7.0877,0.448,0.613,0.38,2008-08-20,2.4547,0.4,0.6
C2,ok,,18.01,1.604,2008-11-12,34.48,0.4761,0.0961,6.6115,7.0877,0.448,0.613,0.38,2008-08-20,2.4547,0.4,0.6
A,ok,,17.84,,,42.51,0.0,0.0,10.4182,10.4182,0.612,0.716,0.36,2008-10-22,3.3364,0.0,0.7
B,ok,,17.84,13.59,2018-12-24,43.4,0.4544,0.0944,11.6247,12.0791,0.612,0.716,0.36,2008-10-22,3.5219,0.0,0.7
C1,ok,,17.84,1.83,2009-03-09,41.56,0.4544,0.0944,11.6247,12.0791,0.612,0.716,0.36,2008-10-22,3.5219,0.0,0.7
C2,ok,,17.84,1.83,2009-03-09,41.56,0.4106,0.0906,10.3357,10.7464,0.488,0.695,0.36,2008-10-22,3.5219,0.1,0.7
A,ok,,17.84,,,43.44,0.0,0.0,7.7708,7.7708,0.504,0.619,0.36,2008-10-22,2.8463,0.0,0.6
B,ok,,17.84,11.858,2018-12-24,44.34,0.4544,0.0944,8.6899,9.1443,0.504,0.619,0.36,2008-10-22,2.9957,0.0,0.6
C1,ok,,17.84,1.83,2009-03-09,42.5,0.4544,0.0944,8.6899,9.1443,0.504,0.619,0.36,2008-10-22,2.9957,0.0,0.6
C2,ok,,17.84,1.83,2009-03-09,42.5,0.4106,0.0906,8.1679,8.5785,0.488,0.608,0.36,2008-10-22,2.9957,0.1,0.6
A,ok,,17.66,,,45.14,0.0,0.0,11.435,11.435,0.6,0.716,0.36,2008-12-24,3.4156,0.0,0.7
B,ok,,17.66,14.956,2019-01-03,46.06,0.4526,0.0926,12.6478,13.1004,0.6,0.716,0.36,2008-12-24,3.5767,0.0,0.7
C1,ok,,17.66,1.876,2009-03-09,44.18,0.4526,0.0926,12.6478,13.1004,0.6,0.716,0.36,2008-12-24,3.5767,0.0,0.7
C2,ok,,17.66,1.876,2009-03-09,44.18,0.4306,0.0906,11.6937,12.1243,0.495,0.705,0.36,2008-12-24,3.5767,0.0,0.7
A,ok,,17.66,,,45.72,0.0,0.0,8.4988,8.4988,0.49,0.619,0.36,2008-12-24,2.9184,0.1,0.6
B,ok,,17.66,12.91,2019-01-03,46.66,0.4526,0.0926,9.4273,9.8799,0.49,0.619,0.36,2008-12-24,3.0489,0.1,0.6
C1,ok,,17.66,1.876,2009-03-09,44.77,0.4526,0.0926,9.4273,9.8799,0.49,0.619,0.36,2008-12-24,3.0489,0.1,0.6
C2,ok,,17.66,1.876,2009-03-09,44.77,0.4306,0.0906,9.0456,9.4761,0.49,0.613,0.36,2008-12-24,3.0489,0.1,0.6
A,ok,,17.5,,,45.38,0.0,0.0,11.2565,11.2565,0.638,0.718,0.36,2009-02-25,3.7796,0.0,0.7
B,ok,,17.5,15.259,2020-03-16,46.31,0.4509,0.0909,12.4037,12.8546,0.638,0.718,0.36,2009-02-25,3.9714,0.0,0.7
C1,ok,,17.5,1.899,2009-03-09,44.41,0.4509,0.0909,12.4037,12.8546,0.638,0.718,0.36,2009-02-25,3.9714,0.0,0.7
C2,ok,,17.5,1.899,2009-03-09,44.41,0.4289,0.0889,11.4467,11.8757,0.496,0.707,0.36,2009-02-25,3.9714,0.0,0.7
A,ok,,17.5,,,45.9,0.0,0.0,8.3276,8.3276,0.531,0.621,0.36,2009-02-25,3.1886,0.0,0.6
B,ok,,17.5,13.044,2020-03-16,46.84,0.4509,0.0909,9.2006,9.6515,0.531,0.621,0.36,2009-02-25,3.3435,0.0,0.6
C1,ok,,17.5,1.899,2009-03-09,44.94,0.4509,0.0909,9.2006,9.6515,0.531,0.621,0.36,2009-02-25,3.3435,0.0,0.6
C2,ok,,17.5,1.899,2009-03-09,44.94,0.4289,0.0889,8.8202,9.2491,0.496,0.615,0.36,2009-02-25,3.3435,0.0,0.6
A,ok,,17.33,,,48.55,0.0,0.0,9.8742,9.8742,0.654,0.717,0.36,2009-04-29,3.5375,0.0,0.7
B,ok,,17.33,14.022,2016-06-27,49.54,0.4492,0.0892,10.9463,11.3955,0.654,0.717,0.36,2009-04-29,3.7322,0.0,0.7
C1,ok,,17.33,1.972,2009-05-13,47.56,0.4492,0.0892,10.9463,11.3955,0.654,0.717,0.36,2009-04-29,3.7322,0.0,0.7
C2,ok,,17.33,1.972,2009-05-13,47.56,0.4492,0.0892,10.9463,11.3955,0.654,0.717,0.36,2009-04-29,3.7322,0.0,0.7
A,ok,,17.33,,,48.63,0.0,0.0,7.3982,7.3982,0.549,0.619,0.36,2009-04-29,2.9996,0.0,0.6
B,ok,,17.33,12.53,2018-12-24,49.61,0.4492,0.0892,8.2184,8.6676,0.549,0.619,0.36,2009-04-29,3.1568,0.0,0.6
C1,ok,,17.33,1.972,2009-05-13,47.64,0.4492,0.0892,8.2184,8.6676,0.549,0.619,0.36,2009-04-29,3.1568,0.0,0.6
C2,ok,,17.33,1.972,2009-05-13,47.64,0.4492,0.0892,8.2184,8.6676,0.549,0.619,0.36,2009-04-29,3.1568,0.0,0.6
A,ok,,17.15,,,47.26,0.0,0.0,9.181,9.181,0.633,0.716,0.36,2009-07-01,3.3314,0.0,0.7
B,ok,,17.15,13.481,2018-12-24,48.23,0.4474,0.0874,10.2446,10.692,0.633,0.716,0.36,2009-07-01,3.5335,0.0,0.7
C1,ok,,17.15,1.948,2009-07-07,46.28,0.4474,0.0874,10.2446,10.692,0.633,0.716,0.36,2009-07-01,3.5335,0.0,0.7
C2,ok,,17.15,1.948,2009-07-07,46.28,0.4251,0.0851,9.811,10.2361,0.467,0.705,0.36,2009-07-01,3.5335,0.5,0.7
A,ok,,17.15,,,47.51,0.0,0.0,6.9305,6.9305,0.526,0.619,0.36,2009-07-01,2.8428,0.0,0.6
B,ok,,17.15,11.912,2020-03-16,48.48,0.4474,0.0874,7.7423,8.1897,0.526,0.619,0.36,2009-07-01,3.0056,0.0,0.6
C1,ok,,17.15,1.948,2009-07-07,46.53,0.4474,0.0874,7.7423,8.1897,0.526,0.619,0.36,2009-07-01,3.0056,0.0,0.6
C2,ok,,17.15,1.948,2009-07-07,46.53,0.4251,0.0851,7.5655,7.9906,0.467,0.613,0.36,2009-07-01,3.0056,0.5,0.6
A,ok,,16.98,,,48.97,0.0,0.0,8.643,8.643,0.622,0.716,0.34,2009-09-02,3.1375,0.0,0.7
B,ok,,16.98,12.793,2018-12-24,49.97,0.4257,0.0857,9.6662,10.0919,0.622,0.716,0.34,2009-09-02,3.3269,0.0,0.7
C1,ok,,16.98,2.0,2009-09-02,47.97,0.4257,0.0857,9.6662,10.0919,0.622,0.716,0.34,2009-09-02,3.3269,0.0,0.7
C2,ok,,16.98,2.0,2009-09-02,47.97,0.4034,0.0834,9.2384,9.6419,0.463,0.704,0.34,2009-09-02,3.3269,0.5,0.7
A,ok,,16.98,,,48.98,0.0,0.0,6.5732,6.5732,0.514,0.619,0.34,2009-09-02,2.6954,0.0,0.6
B,ok,,16.98,11.348,2020-03-16,49.98,0.4257,0.0857,7.3562,7.7819,0.514,0.619,0.34,2009-09-02,2.8482,0.0,0.6
C1,ok,,16.98,2.0,2009-09-02,47.98,0.4257,0.0857,7.3562,7.7819,0.514,0.619,0.34,2009-09-02,2.8482,0.0,0.6
C2,ok,,16.98,2.0,2009-09-02,47.98,0.4034,0.0834,7.1807,7.5842,0.463,0.613,0.34,2009-09-02,2.8482,0.5,0.6
A,ok,,16.8,,,49.06,0.0,0.0,8.521,8.521,0.603,0.714,0.34,2009-11-04,3.1363,0.0,0.7
B,ok,,16.8,12.364,2018-12-24,50.06,0.4241,0.0841,9.5191,9.9432,0.603,0.714,0.34,2009-11-04,3.3223,0.0,0.7
C1,ok,,16.8,2.0,2009-11-04,48.06,0.4241,0.0841,9.5191,9.9432,0.603,0.714,0.34,2009-11-04,3.3223,0.0,0.7
C2,ok,,16.8,2.0,2009-11-04,48.06,0.4019,0.0819,8.8575,9.2594,0.497,0.703,0.34,2009-11-04,3.3223,0.0,0.7
A,ok,,16.8,,,49.05,0.0,0.0,6.5291,6.5291,0.494,0.617,0.34,2009-11-04,2.6953,0.0,0.6
B,ok,,16.8,11.06,2018-12-24,50.05,0.4241,0.0841,7.3009,7.725,0.494,0.617,0.34,2009-11-04,2.8456,0.0,0.6
C1,ok,,16.8,2.0,2009-11-04,48.05,0.4241,0.0841,7.3009,7.725,0.494,0.617,0.34,2009-11-04,2.8456,0.0,0.6
C2,ok,,16.8,2.0,2009-11-04,48.05,0.4019,0.0819,7.0267,7.4286,0.494,0.611,0.34,2009-11-04,2.8456,0.0,0.6
A,ok,,16.63,,,46.21,0.0,0.0,7.6583,7.6583,0.612,0.714,0.34,2010-01-06,3.0599,0.0,0.7
B,ok,,16.63,11.691,2020-03-16,47.15,0.4224,0.0824,8.6138,9.0362,0.612,0.714,0.34,2010-01-06,3.2677,0.0,0.7
C1,ok,,16.63,1.909,2010-07-02,45.23,0.4224,0.0824,8.6138,9.0362,0.612,0.714,0.34,2010-01-06,3.2677,0.0,0.7
C2,ok,,16.63,1.909,2010-07-02,45.23,0.4004,0.0804,7.9719,8.3723,0.498,0.703,0.34,2010-01-06,3.2677,0.0,0.7
A,ok,,16.63,,,46.62,0.0,0.0,5.9321,5.9321,0.504,0.617,0.34,2010-01-06,2.6411,0.0,0.6
B,ok,,16.63,10.437,2020-03-16,47.57,0.4224,0.0824,6.6709,7.0933,0.504,0.617,0.34,2010-01-06,2.8095,0.0,0.6
C1,ok,,16.63,1.909,2010-07-02,45.65,0.4224,0.0824,6.6709,7.0933,0.504,0.617,0.34,2010-01-06,2.8095,0.0,0.6
C2,ok,,16.63,1.909,2010-07-02,45.65,0.4004,0.0804,6.4021,6.8024,0.498,0.611,0.34,2010-01-06,2.8095,0.0,0.6
A,ok,,16.46,,,46.09,0.0,0.0,7.5292,7.5292,0.654,0.717,0.34,2010-03-10,2.6137,0.0,0.7
B,ok,,16.46,11.512,2020-03-16,47.03,0.4208,0.0808,8.4401,8.8609,0.654,0.717,0.34,2010-03-10,2.7458,0.0,0.7
C1,ok,,16.46,1.895,2010-07-02,45.12,0.4208,0.0808,8.4401,8.8609,0.654,0.717,0.34,2010-03-10,2.7458,0.0,0.7
C2,ok,,16.46,1.895,2010-07-02,45.12,0.3988,0.0788,7.8368,8.2356,0.5,0.706,0.34,2010-03-10,2.7458,0.0,0.7
A,ok,,16.46,,,46.56,0.0,0.0,5.8245,5.8245,0.549,0.62,0.34,2010-03-10,2.302,0.0,0.6
B,ok,,16.46,10.263,2020-03-16,47.5,0.4208,0.0808,6.5288,6.9496,0.549,0.62,0.34,2010-03-10,2.4096,0.0,0.6
C1,ok,,16.46,1.895,2010-07-02,45.59,0.4208,0.0808,6.5288,6.9496,0.549,0.62,0.34,2010-03-10,2.4096,0.0,0.6
C2,ok,,16.46,1.895,2010-07-02,45.59,0.3988,0.0788,6.277,6.6759,0.5,0.614,0.34,2010-03-10,2.4096,0.0,0.6
A,ok,,16.29,,,45.42,0.0,0.0,7.3602,7.3602,0.664,0.716,0.34,2010-05-12,3.0246,0.0,0.7
B,ok,,16.29,12.288,2018-12-24,46.34,0.4191,0.0791,8.2338,8.653,0.664,0.716,0.34,2010-05-12,3.2136,0.0,0.7
C1,ok,,16.29,1.872,2010-07-02,44.46,0.4191,0.0791,8.2338,8.653,0.664,0.716,0.34,2010-05-12,3.2136,0.0,0.7
C2,ok,,16.29,1.872,2010-07-02,44.46,0.3749,0.0749,7.5774,7.9523,0.464,0.692,0.34,2010-05-12,3.2136,0.6,0.7
A,ok,,16.29,,,45.96,0.0,0.0,5.6934,5.6934,0.56,0.619,0.34,2010-05-12,2.6104,0.0,0.6
B,ok,,16.29,11.019,2020-03-16,46.89,0.4191,0.0791,6.3677,6.7868,0.56,0.619,0.34,2010-05-12,2.7634,0.0,0.6
C1,ok,,16.29,1.872,2010-07-02,45.01,0.4191,0.0791,6.3677,6.7868,0.56,0.619,0.34,2010-05-12,2.7634,0.0,0.6
C2,ok,,16.29,1.872,2010-07-02,45.01,0.3749,0.0749,6.0893,6.4642,0.464,0.607,0.34,2010-05-12,2.7634,0.6,0.6
A,ok,,16.12,,,47.63,0.0,0.0,7.6826,7.6826,0.638,0.713,0.34,2010-07-14,3.5406,0.0,0.7
B,ok,,16.12,12.829,2018-12-24,48.6,0.4175,0.0775,8.5329,8.9504,0.638,0.713,0.34,2010-07-14,3.7772,0.0,0.7
C1,ok,,16.12,1.949,2010-08-31,46.64,0.4175,0.0775,8.5329,8.9504,0.638,0.713,0.34,2010-07-14,3.7772,0.0,0.7
C2,ok,,16.12,1.949,2010-08-31,46.64,0.3952,0.0752,8.1406,8.5357,0.465,0.7,0.34,2010-07-14,3.7772,0.5,0.7
A,ok,,16.12,,,47.85,0.0,0.0,5.9123,5.9123,0.531,0.615,0.34,2010-07-14,2.9971,0.0,0.6
B,ok,,16.12,11.424,2020-03-16,48.82,0.4175,0.0775,6.5671,6.9846,0.531,0.615,0.34,2010-07-14,3.1876,0.0,0.6
C1,ok,,16.12,1.949,2010-08-31,46.86,0.4175,0.0775,6.5671,6.9846,0.531,0.615,0.34,2010-07-14,3.1876,0.0,0.6
C2,ok,,16.12,1.949,2010-08-31,46.86,0.3952,0.0752,6.4037,6.7989,0.465,0.609,0.34,2010-07-14,3.1876,0.5,0.6
A,ok,,15.94,,,49.22,0.0,0.0,7.4645,7.4645,0.631,0.716,0.32,2010-09-15,3.5203,0.0,0.7
B,ok,,15.94,12.427,2018-12-24,50.22,0.3959,0.0759,8.3014,8.6972,0.631,0.716,0.32,2010-09-15,3.7623,0.0,0.7
C1,ok,,15.94,1.974,2011-10-03,48.22,0.3959,0.0759,8.3014,8.6972,0.631,0.716,0.32,2010-09-15,3.7623,0.0,0.7
C2,ok,,15.94,1.974,2011-10-03,48.22,0.352,0.072,7.4896,7.8416,0.473,0.691,0.32,2010-09-15,3.7623,0.4,0.7
A,ok,,15.94,,,49.19,0.0,0.0,5.7771,5.7771,0.524,0.618,0.32,2010-09-15,2.9807,0.0,0.6
B,ok,,15.94,11.097,2020-03-16,50.19,0.3959,0.0759,6.4241,6.82,0.524,0.618,0.32,2010-09-15,3.1753,0.0,0.6
C1,ok,,15.94,1.974,2011-10-03,48.19,0.3959,0.0759,6.4241,6.82,0.524,0.618,0.32,2010-09-15,3.1753,0.0,0.6
C2,ok,,15.94,1.974,2011-10-03,48.19,0.352,0.072,6.082,6.434,0.473,0.606,0.32,2010-09-15,3.1753,0.4,0.6
A,ok,,15.77,,,48.47,0.0,0.0,7.0766,7.0766,0.601,0.715,0.32,2010-11-17,3.502,0.0,0.7
B,ok,,15.77,11.667,2018-12-24,49.45,0.3943,0.0743,7.9051,8.2994,0.601,0.715,0.32,2010-11-17,3.7658,0.0,0.7
C1,ok,,15.77,1.949,2011-08-19,47.46,0.3943,0.0743,7.9051,8.2994,0.601,0.715,0.32,2010-11-17,3.7658,0.0,0.7
C2,ok,,15.77,1.949,2011-08-19,47.46,0.3722,0.0722,7.4283,7.8004,0.476,0.703,0.32,2010-11-17,3.7658,0.1,0.7
A,ok,,15.77,,,48.65,0.0,0.0,5.5337,5.5337,0.491,0.618,0.32,2010-11-17,2.9703,0.1,0.6
B,ok,,15.77,10.631,2020-03-16,49.64,0.3943,0.0743,6.1775,6.5718,0.491,0.618,0.32,2010-11-17,3.1827,0.1,0.6
C1,ok,,15.77,1.949,2011-08-19,47.61,0.3943,0.0743,6.1775,6.5718,0.491,0.618,0.32,2010-11-17,3.1827,0.1,0.6
C2,ok,,15.77,1.949,2011-08-19,47.61,0.3722,0.0722,5.9759,6.3481,0.476,0.612,0.32,2010-11-17,3.1827,0.2,0.6
A,ok,,15.6,,,44.98,0.0,0.0,6.4611,6.4611,0.629,0.713,0.32,2011-01-19,3.5104,0.0,0.7
B,ok,,15.6,11.127,2020-03-16,45.91,0.3927,0.0727,7.244,7.6367,0.629,0.713,0.32,2011-01-19,3.7992,0.0,0.7
C1,ok,,15.6,1.87,2011-08-19,44.01,0.3927,0.0727,7.244,7.6367,0.629,0.713,0.32,2011-01-19,3.7992,0.0,0.7
C2,ok,,15.6,1.87,2011-08-19,44.01,0.3707,0.0707,6.7023,7.073,0.5,0.701,0.32,2011-01-19,3.7992,0.0,0.7
A,ok,,15.6,,,45.63,0.0,0.0,5.1046,5.1046,0.522,0.616,0.32,2011-01-19,2.9823,0.0,0.6
B,ok,,15.6,10.132,2020-03-16,46.57,0.3927,0.0727,5.7139,6.1066,0.522,0.616,0.32,2011-01-19,3.2148,0.0,0.6
C1,ok,,15.6,1.87,2011-08-19,44.67,0.3927,0.0727,5.7139,6.1066,0.522,0.616,0.32,2011-01-19,3.2148,0.0,0.6
C2,ok,,15.6,1.87,2011-08-19,44.67,0.3707,0.0707,5.4823,5.853,0.5,0.61,0.32,2011-01-19,3.2148,0.0,0.6
A,ok,,15.42,,,45.88,0.0,0.0,6.6031,6.6031,0.622,0.718,0.32,2011-03-23,3.5331,0.0,0.7
B,ok,,15.42,11.767,2020-04-01,46.81,0.3912,0.0712,7.37,7.7612,0.622,0.718,0.32,2011-03-23,3.8059,0.0,0.7
C1,ok,,15.42,1.887,2011-08-19,44.9,0.3912,0.0712,7.37,7.7612,0.622,0.718,0.32,2011-03-23,3.8059,0.0,0.7
C2,ok,,15.42,1.887,2011-08-19,44.9,0.3912,0.0712,7.37,7.7612,0.622,0.718,0.32,2011-03-23,3.8059,0.0,0.7
